Country,VeganCosts,VegetarianCosts
Armenia,71.96363636363637,32.22727272727273
Afghanistan,25.54954954954955,16.117117117117118
Albania,37.009009009009006,21.53153153153153
Algeria,43.86363636363637,17.172727272727272
Angola,25.136363636363637,22.736363636363638
Antigua and Barbuda,55.9,34.481818181818184
Argentina,147.0,120.07272727272728
Australia,75.06363636363636,48.027272727272724
Austria,27.135135135135137,15.378378378378379
Bahamas,69.76363636363637,51.90909090909091
Barbados,58.09090909090909,39.63636363636363
Bangladesh,7.936936936936937,4.657657657657658
Bermuda,37.00909090909091,30.827272727272728
Bolivia (Plurinational State of),44.236363636363635,36.60909090909091
Botswana,44.31818181818182,20.972727272727273
Brazil,92.14545454545454,68.50909090909092
Belize,26.827272727272728,13.909090909090908
Solomon Islands,8.627272727272727,7.1454545454545455
Brunei Darussalam,40.10909090909091,31.963636363636365
Bulgaria,17.80909090909091,5.6454545454545455
Myanmar,17.854545454545455,13.281818181818181
Cameroon,14.172727272727272,10.954545454545455
Canada,33.10909090909091,24.90909090909091
Cabo Verde,35.2,11.081818181818182
Central African Republic,32.91818181818182,30.29090909090909
Sri Lanka,8.756756756756756,3.5225225225225225
Chad,24.172727272727272,20.12727272727273
Chile,62.14545454545455,44.86363636363637
Colombia,49.43636363636364,30.009090909090908
Congo,14.60909090909091,12.39090909090909
Costa Rica,60.36363636363637,29.40909090909091
Cuba,29.79090909090909,15.663636363636364
Cyprus,44.06363636363636,20.7
Azerbaijan,55.945454545454545,27.054545454545455
Benin,12.972727272727273,11.227272727272727
Denmark,31.585585585585587,19.47747747747748
Dominica,44.027272727272724,20.2
Dominican Republic,31.972727272727273,20.0
Belarus,22.136363636363637,12.381818181818181
Ecuador,52.836363636363636,30.418181818181818
Egypt,31.681818181818183,20.327272727272728
El Salvador,33.10909090909091,13.545454545454545
Estonia,21.963963963963963,8.405405405405405
Fiji,22.0,16.78181818181818
Finland,32.24324324324324,15.882882882882884
France,31.00900900900901,18.963963963963963
French Polynesia,56.845454545454544,44.67272727272727
Djibouti,38.972727272727276,26.62727272727273
Georgia,38.30909090909091,11.1
Gabon,30.027272727272727,23.745454545454546
Gambia,15.218181818181819,5.909090909090909
Germany,24.92792792792793,12.063063063063064
Bosnia and Herzegovina,15.396396396396396,7.36036036036036
Ghana,8.145454545454545,6.072727272727272
Kiribati,11.418181818181818,9.863636363636363
Greece,29.423423423423422,16.9009009009009
Grenada,31.118181818181817,14.863636363636363
Guatemala,20.863636363636363,12.845454545454546
Guinea,18.98181818181818,14.836363636363636
Guyana,35.75454545454546,11.972727272727273
Haiti,12.49090909090909,9.39090909090909
Honduras,31.754545454545454,16.5
"China, Hong Kong SAR",70.51818181818182,59.61818181818182
Hungary,16.98181818181818,5.7727272727272725
Croatia,20.52252252252252,10.423423423423424
Iceland,36.36036036036036,20.666666666666668
India,15.153153153153154,2.5765765765765765
Indonesia,7.754545454545455,5.9818181818181815
Iran (Islamic Republic of),21.774774774774773,14.756756756756756
Iraq,13.227272727272727,8.636363636363637
Ireland,32.01801801801802,19.396396396396398
Israel,94.71818181818182,53.92727272727273
Italy,24.44144144144144,15.306306306306306
Cote d'Ivoire,6.390909090909091,4.9
Kazakhstan,96.80909090909091,45.336363636363636
Jamaica,31.87272727272727,16.2
Japan,29.490909090909092,20.445454545454545
Jordan,35.80909090909091,20.59090909090909
Kyrgyzstan,68.7090909090909,30.136363636363637
Kenya,38.68181818181818,21.48181818181818
Cambodia,9.345454545454546,8.936363636363636
Democratic People's Republic of Korea,3.418181818181818,2.6363636363636362
Republic of Korea,30.645454545454545,26.70909090909091
Kuwait,74.18181818181819,44.28181818181818
Latvia,16.07207207207207,7.333333333333333
Lao People's Democratic Republic,12.663636363636364,12.227272727272727
Lebanon,46.42727272727273,26.327272727272728
Lesotho,23.19090909090909,18.154545454545456
Liberia,4.745454545454545,4.0181818181818185
Lithuania,22.945945945945947,8.936936936936936
"China, Macao SAR",35.59090909090909,30.918181818181818
Madagascar,21.463636363636365,16.727272727272727
Malawi,9.636363636363637,8.036363636363637
Malaysia,22.9,19.51818181818182
Maldives,39.1981981981982,23.576576576576578
Mali,53.56363636363636,31.645454545454545
Malta,25.82882882882883,16.0990990990991
Mauritania,66.58181818181818,27.8
Mauritius,49.56363636363636,25.245454545454546
Mexico,49.972727272727276,31.40909090909091
Mongolia,77.33636363636364,64.10909090909091
Morocco,29.427272727272726,19.336363636363636
Mozambique,4.9818181818181815,3.9545454545454546
Republic of Moldova,14.336363636363636,3.672727272727273
Namibia,26.7,13.163636363636364
Nepal,24.774774774774773,16.74774774774775
Netherlands,30.92792792792793,15.864864864864865
New Caledonia,44.845454545454544,29.954545454545453
North Macedonia,14.91891891891892,7.666666666666667
Vanuatu,17.936363636363637,14.754545454545454
New Zealand,50.89090909090909,37.46363636363636
Nicaragua,25.145454545454545,11.345454545454546
Niger,35.39090909090909,23.072727272727274
Nigeria,10.181818181818182,8.290909090909091
Norway,27.61261261261261,16.225225225225227
Pakistan,49.22522522522522,19.954954954954953
Panama,57.99090909090909,37.42727272727273
Czechia,22.345454545454544,6.754545454545455
Paraguay,47.39090909090909,34.22727272727273
Peru,25.19090909090909,15.3
Philippines,12.790909090909091,10.9
Poland,18.672727272727272,6.909090909090909
Portugal,25.873873873873872,16.792792792792792
Guinea-Bissau,14.936363636363636,10.772727272727273
Timor-Leste,6.3090909090909095,5.1454545454545455
Zimbabwe,23.163636363636364,17.136363636363637
Romania,24.027272727272727,6.072727272727272
Rwanda,9.163636363636364,7.654545454545454
