countrycode,country,gleam_region,bovine,muttongoat,pig,poultry,eggs,milk
235,Uzbekistan,ne_na,4.14275,0.57305,0.1095,0.22995,0.5621,4.33255
236,Venezuela (Bolivarian Republic of),lac,3.02585,0.0365,0.6059,5.10635,0.55845,3.00395
237,Viet Nam,e_se_asia,0.91615,0.01825,3.87265,1.4746,0.44165,0.60225
238,Ethiopia,ssa,0.5329,0.21535,0.00365,0.0803,0.04015,1.4819
244,Samoa,oceania,1.5695,0.5986,2.4893,7.88035,0.2628,1.72645
249,Yemen,ne_na,0.66795,0.7081,0,1.3943,0.23725,1.47825
251,Zambia,ssa,0.69715,0.0949,0.1898,0.40515,0.34675,0.31025
255,Belgium,w_europe,2.0075,0.17885,3.44195,1.5914,1.37605,8.72715
256,Luxembourg,w_europe,4.3873,0.2263,4.39825,2.79225,1.55125,8.71255
272,Serbia,w_europe,1.0731,0.4818,3.66095,1.31765,0.95265,4.8034
273,Montenegro,w_europe,1.86515,0.39785,4.90195,2.01115,1.241,11.0449
276,Sudan,ne_na,1.6279,1.40525,0,0.16425,0.10585,5.74875
351,China,e_se_asia,0.7154,0.4234,4.2413,1.62425,2.13525,1.1388
