countrycode,country,gleam_region,bovine,muttongoat,pig,poultry,eggs,milk
1,Armenia,ne_na,2.6681499,0.36135,0.53290004,1.7300999,1.3249501,6.5116
2,Afghanistan,s_asia,0.70810002,0.78475004,0,0.30659997,0.0876,2.1389
3,Albania,w_europe,3.2448502,1.63155,1.01835,1.9819499,0.81759995,10.4536
4,Algeria,ne_na,0.67524999,0.79935002,0,0.83585,0.65335,4.58075
7,Angola,ssa,0.98915005,0.16790001,0.68620002,1.6206,0.17885001,0.34310001
8,Antigua and Barbuda,lac,1.8396,0.21900001,0.96725005,6.7014003,0.59859997,4.4238
9,Argentina,lac,9.8294506,0.2482,0.89790004,4.0515003,1.1607001,5.2596498
10,Australia,oceania,5.1683998,1.23005,1.93815,5.0917501,0.67524999,7.2197003
11,Austria,w_europe,2.5403998,0.13869999,5.6574998,2.8798499,1.54395,7.4642506
12,Bahamas,lac,3.5624001,0.42339998,2.7813001,7.0262499,0.80299997,3.1974001
14,Barbados,lac,2.60975,0.74825001,0.58399999,5.2231503,0.67524999,3.58795
16,Bangladesh,s_asia,0.19710001,0.20074999,0,0.15329999,0.16060001,0.71904999
17,Bermuda,northam,3.95295,0.93804997,1.92355,5.2925,1.06215,3.3215003
19,Bolivia (Plurinational State of),lac,2.60975,0.25915,0.77745003,4.3763499,0.51099998,1.3212999
20,Botswana,ssa,1.0658001,0.54750001,0.058399998,0.7227,0.21900001,2.8762
21,Brazil,lac,5.2815504,0.083950005,1.1899,4.4712501,0.83950001,4.6026497
23,Belize,lac,0.75554997,0.01095,1.72645,3.1061502,0.59859997,2.4017
25,Solomon Islands,oceania,0.6789,0.029199999,0.53290004,0.29929999,0.146,0.20439999
26,Brunei Darussalam,e_se_asia,1.2118,0.25549999,0.58765,7.0809999,1.72645,2.6718001
27,Bulgaria,e_europe,0.69714999,0.2482,2.6900501,2.6243501,1.1424501,4.7012
28,Myanmar,e_se_asia,0.65335,0.12045,1.2154499,2.5148499,0.63875002,1.38335
32,Cameroon,ssa,0.59130001,0.25549999,0.22265001,0.40515,0.040150002,0.4964
33,Canada,northam,4.09165,0.13505,2.4089999,4.7887998,1.33955,4.9640002
35,Cabo Verde,ssa,0.39785001,0.2482,1.2263999,2.3980501,0.45989999,3.6791999
37,Central African Republic,ssa,2.8543,0.64604998,0.49274999,0.16790001,0.06205,0.53290004
38,Sri Lanka,s_asia,0.23724999,0.01095,0,0.60224998,0.292,1.2154499
39,Chad,ssa,1.23005,0.50735003,0.0073,0.054750003,0.029199999,0.71904999
40,Chile,lac,2.96015,0.072999999,2.4126501,4.0369,0.93804997,3.0367999
44,Colombia,lac,2.2410998,0.032850001,0.51099998,2.64625,0.98185003,3.9200997
46,Congo,ssa,0.37959999,0.054750003,0.12045,1.4819,0.051099997,0.43435001
48,Costa Rica,lac,2.6243501,0.00365,0.91615003,2.4382,0.95629996,5.8728499
49,Cuba,lac,0.96725005,0.1752,2.1535001,1.7520001,0.87965,2.58055
50,Cyprus,ne_na,0.92344999,0.81029999,3.3215003,3.5113001,0.82490003,4.6866002
52,Azerbaijan,ne_na,1.8176999,1.10595,0.036499999,1.09865,0.78840005,4.8143497
53,Benin,ssa,0.44165003,0.12045,0.076649994,1.1095999,0.076649994,0.292
54,Denmark,w_europe,3.7850502,0.12045,2.4418502,3.1974001,2.0330501,7.7343502
55,Dominica,lac,1.28115,0.31025001,2.1826999,3.5076499,0.25185001,6.3364005
56,Dominican Republic,lac,1.6059999,0.032850001,1.01105,3.79965,0.82125002,1.9819499
57,Belarus,e_europe,2.7739999,0.014599999,4.1792498,3.0331502,1.7227999,4.8471999
58,Ecuador,lac,2.41995,0.076649994,1.27385,2.6681499,0.63875002,4.3690505
59,Egypt,ne_na,1.8396,0.24455,0,1.56585,0.29565001,2.1936502
60,El Salvador,lac,1.4526999,0.00365,0.25915,1.87975,0.86139995,3.58795
63,Estonia,w_europe,1.83595,0.072999999,3.4017999,2.5841999,1.2629,7.7526002
66,Fiji,oceania,1.42715,0.75554997,0.50005001,2.2849002,0.52925003,1.2483001
67,Finland,w_europe,2.8397002,0.054750003,3.4638498,2.6425998,1.0001,10.5485
68,France,w_europe,3.7302999,0.41975001,3.2923,3.1974001,1.5257,8.2891493
70,French Polynesia,oceania,4.7887998,0.47814998,1.5402999,5.8290501,0.9928,3.20105
72,Djibouti,ssa,1.168,0.74825001,0.083950005,0.20074999,0.029199999,1.2045
73,Georgia,ne_na,1.0438999,0.14964999,0.58765,1.43445,0.58765,4.7157998
74,Gabon,ssa,0.90884995,0.19345,0.61685002,3.9894502,0.12774999,1.168
75,Gambia,ssa,0.36135,0.15329999,0.06205,0.39055002,0.12774999,1.6899501
79,Germany,w_europe,1.6498001,0.098550007,5.4457998,2.6572001,1.4162,8.7709503
80,Bosnia and Herzegovina,w_europe,1.3432001,0.080300003,0.76284999,1.4746,0.46355,5.9093499
81,Ghana,ssa,0.19710001,0.24455,0.10950001,0.7008,0.1168,0.28105
83,Kiribati,oceania,0.51099998,0.0219,1.06215,1.8578501,0.26645002,0.75554997
