Run,Global,SAD,Vegetarian,Beef,Dairy,Poultry,Pork,Eggs,SheepGoat
Base,182.368312371338,61.271028037383175,20.429906542056074,0.1478411214953271,0.0487196261682243,0.012663551401869158,0.02347663551401869,0.01202803738317757,0.10393457943925234
Stern,544.158135147427,179.13793103448276,57.344827586206904,0.41537931034482756,0.1349655172413793,0.05193103448275862,0.07810344827586208,0.04793103448275862,0.2822758620689655
2.5%,444.89485937801874,149.36604161626303,48.82928257280257,0.3513651167931261,0.11490165791831344,0.03815541981764177,0.06169683974827967,0.035707632398894656,0.243366495748263
3%,317.9878337246246,106.97522296896352,35.24740007020267,0.2541230557955578,0.08335078983447275,0.02526615344883957,0.04295437011915359,0.023735508067486446,0.1771276771755942
5%,140.38588871290787,47.50105825058122,15.996929126052127,0.11598317492047355,0.03834392359953109,0.008597590794303438,0.017527063945311963,0.008216811675440631,0.08213313784279254
