Run,Global,SAD,Vegetarian,Beef,Dairy,Poultry,Pork,Eggs,SheepGoat
Base,232.5992881016532,79.9622641509434,32.943396226415096,0.1764245283018868,0.0799433962264151,0.011113207547169811,0.025235849056603775,0.012150943396226415,0.09275471698113208
Stern,690.6327039804978,248.1851851851852,107.25925925925927,0.5023333333333334,0.25837037037037036,0.04825925925925926,0.08244444444444445,0.050333333333333334,0.22159259259259262
2.5%,568.6248660726932,193.9493716322361,83.90754026349117,0.40191548160655927,0.20269645114661713,0.032906063705121315,0.06209206042882437,0.03519334053689199,0.18736651579390895
3%,406.09611482063684,138.59274501593896,58.85318679428708,0.29453915874712655,0.14243847975376417,0.021851398807504495,0.044179691431945514,0.023521941696196976,0.14450025564941033
5%,178.7555346072735,61.12050474755624,24.503162432186066,0.13930822213572353,0.05960031217421149,0.007525970937008349,0.01927265707915364,0.008289465408740298,0.07736461875265456
