Run,Global,SAD,Vegetarian,Beef,Dairy,Poultry,Pork,Eggs,SheepGoat
Base,211.19914426097353,71.71698113207547,23.89622641509434,0.17285849056603775,0.05693396226415094,0.01488679245283019,0.027632075471698117,0.014132075471698114,0.12150943396226416
Stern,679.3293923286683,224.41379310344828,72.41379310344828,0.518448275862069,0.16755172413793104,0.06455172413793103,0.09751724137931034,0.059896551724137936,0.3521034482758621
2.5%,527.4632849809673,177.1087617516729,57.93549161664336,0.41720153073623534,0.13633071332176266,0.0452613205257656,0.07347226705817991,0.04233198131193278,0.2891445044244376
3%,371.9488190321699,125.13405879322707,41.24292949091853,0.2974235924024588,0.09756480323524812,0.029525983050393206,0.050309122692154616,0.02770648863264258,0.20740936271049376
5%,159.44338889446368,53.946000214436125,18.16436156130616,0.13170434357532262,0.04355010445187347,0.00978866818111902,0.019920507971986662,0.00934119140638349,0.09324589240609389
