uA,SCMt
0.9,151.82274238875877
1.0,127.21104918032788
1.1,105.93027634660422
1.2,87.28351756440281
1.3,70.76316159250585
1.4,55.9892318501171
1.5,42.670857142857145
1.6,30.58120843091335
1.7,19.540074941451994
1.8,9.402594847775175
1.9,0.05026697892271663
2.0,-8.61432318501171
2.1,-16.672355971896955
2.2,-24.192749414519906
2.3,-31.233049180327868
2.4,-37.84293208430913
2.5,-44.06497423887588
2.6,-49.936627634660425
2.7,-55.48928337236534
2.8,-60.75168149882904
