column1,column2,column3
0.9,0.48071928024292016,0.4650071859359744
1.0,0.45430116653442404,0.4378274679183964
1.1,0.42624883651733425,0.40897662639617954
1.2,0.3959683418273929,0.3778544902801516
1.3,0.36271710395813017,0.343705749511719
1.4,0.3255133628845219,0.30553340911865257
1.5,0.28298468589782744,0.26196033358573945
1.6,0.23315464258194005,0.21100964546203652
1.7,0.17304000854492232,0.14973297119140672
1.8,0.09801930189132738,0.07363528609275864
1.9,0.001009203400463386,-0.023996201157569348
