SCCs,Theta
0.0,0.0
505.85022849999996,0.005
937.7616330344827,0.01
1443.6641868965517,0.015
1978.3773257118644,0.02
2655.5379759827583,0.025
3390.7116780689653,0.03
4203.950055327586,0.035
5136.414275241379,0.04
6201.508036827587,0.045
7457.940683982759,0.05
