SCCs,Theta
0.0,0.0
483.78199779310347,0.005
929.6042169655171,0.01
1431.3505077241377,0.015
1978.3773257118644,0.02
2589.524733372881,0.025
3390.7116780689653,0.03
4190.804689103448,0.035
5136.414275241379,0.04
6139.548518898305,0.045
7294.088331689654,0.05
